Player,Year,Weight,Height (No Shoes)
Henry Ellenson,2016,242,82
DaJuan Summers,2009,243,79.25
Rakeem Christmas,2015,243,80.25
Richaun Holmes,2015,243,80.25
Kyle Wiltjer,2016,243,80.75
Bam Adebayo,2017,243,80.75
Jerome Jordan,2010,244,83.5
Thomas Robinson,2012,244,79.75
Damian Jones,2016,244,82.25
Derrick Favors,2010,245,80.75
Chinanu Onuaku,2016,245,81
Nigel Hayes,2016,245,78.25
Josh Heytvelt,2009,246,82
Bobby Portis,2015,246,81.5
Greg Monroe,2010,247,81.75
Jordan Williams,2011,247,79.75
Tyler Zeller,2012,247,83.25
Noah Vonleh,2014,247,80
Patric Young,2014,247,80.5
Mouhammadou Jaiteh,2015,247,81.5
Caleb Swanigan,2016,247,79.5
Blake Griffin,2009,248,80.5
Derrick Williams,2011,248,79.25
Thomas Bryant,2017,248,81.5
Omer Yurtseven,2017,248,82.5
Tony Bradley,2017,249,81.25
Meyers Leonard,2012,250,83.75
Richard Howell,2013,250,78.25
Julius Randle,2014,250,79.75
Kevin Jones,2012,251,78.25
Robert Carter,2016,251,78.75
Terrence Jones,2012,252,80.25
Miles Plumlee,2012,252,82.5
Cameron Bairstow,2014,252,80.75
Alex Kirk,2014,252,81.25
Ike Anigbogu,2017,252,80.5
Greg Smith,2011,253,80
Montrezl Harrell,2015,253,79
Jordan Bachynski,2014,254,85.25
Diamond Stone,2016,254,81
Thomas Welsh,2017,254,83.5
Fab Melo,2012,255,82.75
Steven Adams,2013,255,82.75
James Johnson,2009,257,79
Johnny O'Bryant,2014,257,79.25
Byron Mullens,2009,258,83.75
Robert Upshaw,2015,258,82.75
Enes Kanter,2011,259,81.75
Nikola Vucevic,2011,260,82.25
Royce White,2012,261,79
Alan Williams,2015,261,79.25
Jeremy Tyler,2011,262,81
Colton Iverson,2013,263,82.5
Jarnell Stokes,2014,263,79
Festus Ezeli,2012,264,81.75
Dakari Johnson,2015,265,83
Hasheem Thabeet,2009,267,85.25
Artsiom Parakhouski,2010,268,82.25
Jared Sullinger,2012,268,79.75
Daniel Orton,2010,269,80.75
DeJuan Blair,2009,277,77.25
Kennedy Meeks,2017,277,80.75
Andre Drummond,2012,279,81.75
Derrick Caracter,2010,280,80.25
DeMarcus Cousins,2010,292,81.5
Tiny Gallon,2010,302,80.5
Dexter Pittman,2010,303,81.5
