Date,S&P 500 Open,S&P 500 High,S&P 500 Low,S&P 500 Close,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close
3/24/2021,13289.24,13292.92,12961.35,12961.89,3919.93,3942.08,3889.07,3889.14
3/23/2021,13381.44,13405.15,13202.43,13227.7,3937.6,3949.13,3901.57,3910.52
3/22/2021,13278.78,13455.65,13278.78,13377.54,3916.48,3955.31,3914.16,3940.59
3/19/2021,13119.9,13252.37,13039.45,13215.24,3913.14,3930.12,3886.75,3913.1
3/18/2021,13349.2,13384.46,13101.93,13116.17,3953.5,3969.62,3910.86,3915.46
3/17/2021,13336.92,13595,13272.69,13525.2,3949.57,3983.87,3935.74,3974.12
3/16/2021,13523.17,13620.71,13397.09,13471.57,3973.59,3981.04,3953.44,3962.71
3/15/2021,13323.47,13460.35,13272.5,13459.71,3942.96,3970.08,3923.54,3968.94
3/12/2021,13222.81,13324.7,13158.72,13319.86,3924.52,3944.99,3915.21,3943.34
3/11/2021,13273.31,13433.62,13246.32,13398.67,3915.54,3960.27,3915.54,3939.34
3/10/2021,13234.73,13277.11,13035.44,13068.83,3891.99,3917.35,3885.73,3898.81
3/9/2021,12923.07,13151.54,12882.49,13073.82,3851.93,3903.76,3851.93,3875.44
3/8/2021,12904.26,13001,12599.23,12609.16,3844.39,3881.06,3819.25,3821.35
3/5/2021,12860.04,12941.22,12397.06,12920.15,3793.58,3851.69,3730.19,3841.94
3/4/2021,12953.99,13068.71,12553.96,12723.47,3818.53,3843.67,3723.34,3768.47
3/3/2021,13336.25,13372.52,12995.07,12997.75,3863.99,3874.47,3818.86,3819.72
3/2/2021,13599.45,13601.33,13352,13358.79,3903.64,3906.41,3868.57,3870.29
3/1/2021,13406.16,13596.59,13362.66,13588.83,3842.51,3914.5,3842.51,3901.82
2/26/2021,13232.9,13368.06,13024.53,13192.35,3839.66,3861.08,3789.54,3811.15
2/25/2021,13512.64,13602.86,13066.38,13119.43,3915.8,3925.02,3814.04,3829.34
2/24/2021,13400.25,13607.36,13286.59,13597.97,3873.71,3928.65,3859.6,3925.43
2/23/2021,13262.61,13526.09,13003.98,13465.2,3857.07,3895.98,3805.59,3881.37
2/22/2021,13714.2,13757.06,13530.96,13533.05,3885.55,3902.92,3874.71,3876.5
2/19/2021,13929.2,13985.58,13842.59,13874.46,3921.16,3930.41,3903.07,3906.71
2/18/2021,13814.67,13905.96,13714.35,13865.36,3915.86,3921.98,3885.03,3913.97
2/17/2021,13911.65,13976.43,13804.26,13965.49,3918.5,3933.61,3900.43,3931.33
2/16/2021,14152.22,14175.11,13995.45,14047.5,3939.61,3950.43,3923.85,3932.59
2/12/2021,13979.21,14102.04,13937.71,14095.47,3911.65,3937.23,3905.78,3934.83
2/11/2021,14045.21,14058.91,13916.84,14025.77,3916.4,3925.99,3890.39,3916.38
2/10/2021,14093.35,14109.12,13845.47,13972.53,3920.78,3931.5,3884.94,3909.88
2/9/2021,13966.82,14044.95,13966.56,14007.7,3910.49,3918.35,3902.64,3911.23
2/8/2021,13937.06,13987.74,13894.15,13987.64,3892.59,3915.77,3892.59,3915.59
2/5/2021,13824.88,13878.16,13761.66,13856.3,3878.3,3894.56,3874.93,3886.83
2/4/2021,13674.06,13778.42,13631.62,13777.74,3836.66,3872.42,3836.66,3871.74
2/3/2021,13718.32,13723.83,13585.34,13610.54,3840.27,3847.51,3816.68,3830.17
2/2/2021,13543.1,13652.7,13535.86,13612.78,3791.84,3843.09,3791.84,3826.31
2/1/2021,13226.18,13431.46,13132.47,13403.39,3731.17,3784.32,3725.62,3773.86
1/29/2021,13284.72,13322,12985.05,13070.69,3778.05,3778.05,3694.12,3714.24
1/28/2021,13323.3,13507.64,13316.52,13337.16,3755.75,3830.5,3755.75,3787.38
1/27/2021,13486.58,13538.42,13192.91,13270.6,3836.83,3836.83,3732.48,3750.77
1/26/2021,13681.72,13702.69,13603.19,13626.06,3862.96,3870.9,3847.78,3849.62
1/25/2021,13681.21,13728.98,13368.68,13635.99,3851.68,3859.23,3797.16,3855.36
1/22/2021,13474.81,13567.14,13463.66,13543.06,3844.24,3852.31,3830.41,3841.47
1/21/2021,13521.48,13560.35,13454.07,13530.91,3857.46,3861.45,3845.05,3853.07
1/20/2021,13342.55,13486.13,13329.77,13457.25,3816.22,3859.75,3816.22,3851.85
1/19/2021,13132.73,13206.86,13078.7,13197.18,3781.88,3804.53,3780.37,3798.91
1/15/2021,13099.9,13139.83,12949.76,12998.5,3788.73,3788.73,3749.62,3768.25
1/14/2021,13174.76,13220.16,13098.41,13112.64,3814.98,3823.6,3792.86,3795.54
1/13/2021,13088.01,13171.15,13051.07,13128.95,3802.23,3820.96,3791.5,3809.84
1/12/2021,13062.06,13105.04,12963.92,13072.43,3801.62,3810.78,3776.51,3801.19
1/11/2021,13048.78,13138.27,12999.51,13036.43,3803.14,3817.86,3789.02,3799.61
1/8/2021,13160.22,13208.09,13036.55,13201.98,3815.05,3826.69,3783.6,3824.68
1/7/2021,12867.34,13090.91,12867.34,13067.48,3764.71,3811.55,3764.71,3803.79
1/6/2021,12666.15,12909.63,12649.99,12740.79,3712.2,3783.04,3705.34,3748.14
1/5/2021,12665.65,12828.27,12665.65,12818.96,3698.02,3737.83,3695.07,3726.86
1/4/2021,12958.52,12958.73,12543.24,12698.45,3764.61,3769.99,3662.71,3700.65
12/31/2020,12877.09,12902.07,12821.23,12888.28,3733.27,3760.2,3726.88,3756.07
12/30/2020,12906.51,12924.93,12857.76,12870,3736.19,3744.63,3730.21,3732.04
12/29/2020,12965.39,12973.33,12821.97,12850.22,3750.01,3756.12,3723.31,3727.04
12/28/2020,12914.64,12930.89,12827.45,12899.42,3723.03,3740.51,3723.03,3735.36
12/24/2020,12791.54,12833.55,12767.64,12804.73,3694.03,3703.82,3689.32,3703.06
12/23/2020,12834.94,12841.92,12758.67,12771.11,3693.42,3711.24,3689.28,3690.01
12/22/2020,12785.22,12840.57,12695.31,12807.92,3698.08,3698.26,3676.16,3687.26
12/21/2020,12596.14,12751.27,12525.22,12742.52,3684.28,3702.9,3636.48,3694.92
12/18/2020,12804.93,12809.6,12654.61,12755.64,3722.39,3726.7,3685.84,3709.41
12/17/2020,12730.78,12765.25,12696.35,12764.75,3713.65,3725.12,3710.87,3722.48
12/16/2020,12611.04,12687.32,12566.38,12658.19,3696.25,3711.27,3688.57,3701.17
12/15/2020,12543.26,12596.13,12465.42,12595.06,3666.41,3695.29,3659.62,3694.62
12/14/2020,12447.44,12543,12432.71,12440.04,3675.27,3697.61,3645.84,3647.49
12/11/2020,12336.79,12383.5,12246.77,12377.87,3656.08,3665.91,3633.4,3663.46
12/10/2020,12247.55,12431.56,12214.74,12405.81,3659.13,3678.49,3645.18,3668.1
12/9/2020,12591.69,12607.15,12290.78,12338.95,3705.98,3712.39,3660.54,3672.82
12/8/2020,12503.17,12594.54,12453.21,12582.77,3683.05,3708.45,3678.83,3702.25
12/7/2020,12461,12536.23,12460.55,12519.95,3694.73,3697.41,3678.88,3691.96
12/4/2020,12399.32,12464.23,12376.44,12464.23,3670.94,3699.2,3670.94,3699.12
12/3/2020,12369.26,12439.02,12356.98,12377.18,3668.28,3682.73,3657.17,3666.72
12/2/2020,12285.75,12360.06,12217.35,12349.37,3653.78,3670.96,3644.84,3669.01
12/1/2020,12313.36,12405.79,12263.93,12355.11,3645.87,3678.45,3645.87,3662.45
11/30/2020,12224.25,12244.65,12027.16,12198.74,3634.18,3634.18,3594.39,3621.63
11/27/2020,12159.18,12236.23,12154.57,12205.85,3638.55,3644.31,3629.33,3638.35
11/25/2020,12053.89,12114.77,12020.95,12094.4,3635.5,3635.5,3617.76,3629.65
11/24/2020,11939.33,12049.88,11863.45,12036.79,3594.52,3642.31,3594.52,3635.41
11/23/2020,11916.76,11949.33,11796.53,11880.63,3566.82,3589.81,3552.77,3577.59
11/20/2020,11892.7,11935.47,11852.51,11854.97,3579.31,3581.23,3556.85,3557.54
11/19/2020,11779.04,11912.63,11760.98,11904.71,3559.41,3585.22,3543.84,3581.87
11/18/2020,11896.06,11942.49,11799.96,11801.6,3612.09,3619.09,3567.33,3567.79
11/17/2020,11913.35,11950.18,11852.41,11899.34,3610.31,3623.11,3588.68,3609.53
11/16/2020,11847.11,11937.72,11814.89,11924.13,3600.16,3628.51,3600.16,3626.91
11/13/2020,11794.94,11849.79,11715.52,11829.29,3552.57,3593.66,3552.57,3585.15
11/12/2020,11802.5,11847.84,11666.38,11709.59,3562.67,3569.02,3518.58,3537.01
11/11/2020,11656.65,11793.57,11638.9,11786.43,3563.22,3581.16,3557,3572.66
11/10/2020,11622.44,11665.87,11424.61,11553.86,3543.26,3557.22,3511.91,3545.53
11/9/2020,12046.66,12108.07,11703.49,11713.78,3583.04,3645.99,3547.48,3550.5
11/6/2020,11869.9,11920.54,11737.13,11895.23,3508.34,3521.58,3484.34,3509.44
11/5/2020,11816.33,11924.28,11784.15,11890.93,3485.74,3529.05,3485.74,3510.45
